Wind_Direction,Wind_Speed,Cloud_Base_Height,Temperature,Pressure,Humidity,NotWeekend,InOperatingHours,NotHoliday
160,17,60,10.6,1007.6,84.7,1,0,1
160,16,60,10.5,1007.7,85.9,1,0,1
160,16,100,10.5,1007.4,85.9,1,0,1
160,17,100,10.5,1007.4,83.4,1,0,1
170,16,100,10.9,1007.3,77.5,1,0,1
170,17,100,10.8,1007.2,77.3,1,0,1
180,22,60,10.8,1007.5,79.8,1,1,1
180,24,60,11.1,1007.7,81.2,1,1,1
180,27,100,11.5,1008.4,84.0,1,1,1
190,28,60,11.9,1008.9,82.9,1,1,1
180,29,30,11.0,1009.3,93.6,1,1,1
180,24,30,11.2,1009.8,95.0,1,1,1
190,28,30,11.7,1010.3,90.1,1,1,1
190,28,30,11.6,1010.9,91.3,1,1,1
190,23,20,11.7,1011.6,92.6,1,1,1
190,25,20,11.7,1012.0,92.6,1,1,1
190,24,20,11.4,1012.4,93.7,1,1,1
190,25,20,11.5,1012.8,93.7,1,1,1
190,21,20,11.3,1013.4,93.7,1,1,1
180,21,20,11.1,1013.8,94.9,1,1,1
180,22,20,11.4,1014.5,95.0,1,0,1
180,22,30,11.5,1015.2,93.7,1,0,1
180,21,20,11.6,1015.7,93.8,1,0,1
170,19,20,11.6,1016.3,92.5,1,0,1
170,21,20,11.9,1016.6,92.5,1,0,1
180,22,20,11.7,1016.7,93.8,1,0,1
180,19,20,11.7,1017.4,93.8,1,0,1
200,19,5,11.3,1018.0,96.2,1,0,1
170,15,10,11.3,1018.2,94.9,1,0,1
170,14,60,11.8,1018.4,86.4,1,0,1
180,14,100,12.4,1018.7,83.2,1,1,1
140,6,100,12.8,1019.0,83.4,1,1,1
110,6,250,15.2,1019.0,74.2,1,1,1
140,11,250,16.7,1018.7,70.5,1,1,1
130,16,250,17.5,1018.5,66.6,1,1,1
130,14,250,18.0,1018.2,62.5,1,1,1
120,14,250,18.1,1017.8,59.0,1,1,1
120,16,250,20.0,1017.3,49.0,1,1,1
120,12,250,20.7,1017.1,50.0,1,1,1
110,14,250,20.5,1016.4,50.5,1,1,1
100,14,250,19.3,1016.0,53.8,1,1,1
90,12,250,18.7,1015.8,57.2,1,1,1
100,11,250,17.7,1015.4,60.4,1,1,1
100,10,250,15.7,1015.5,68.6,1,1,1
110,11,250,14.8,1015.6,69.7,1,0,1
140,5,250,14.1,1016.5,71.2,1,0,1
90,6,250,12.8,1016.3,77.7,1,0,1
100,6,250,12.0,1016.4,80.6,1,0,1
90,5,250,11.8,1016.4,79.3,1,0,1
90,8,250,11.7,1016.0,82.8,1,0,1
140,2,250,10.1,1016.0,86.8,1,0,1
280,2,250,8.8,1016.3,89.0,1,0,1
300,1,250,8.4,1016.5,95.6,1,0,1
90,5,250,8.6,1016.5,94.4,1,0,1
70,2,250,8.6,1016.8,94.4,1,1,1
280,2,250,9.5,1017.5,94.5,1,1,1
320,1,250,12.0,1017.8,85.4,1,1,1
330,2,250,15.1,1017.7,74.1,1,1,1
230,4,250,17.8,1017.9,68.7,1,1,1
200,8,250,16.1,1018.4,73.0,1,1,1
220,6,250,18.0,1018.4,67.0,1,1,1
210,5,250,18.1,1018.4,67.1,1,1,1
210,4,250,19.5,1018.2,62.4,1,1,1
210,7,250,19.5,1017.7,58.2,1,1,1
200,9,250,18.3,1017.7,61.9,1,1,1
220,7,250,17.4,1017.9,69.2,1,1,1
260,5,250,17.7,1017.5,71.4,1,1,1
350,6,250,17.1,1017.6,70.9,1,1,1
340,5,250,14.9,1018.2,81.4,1,0,1
320,4,250,13.2,1018.3,86.0,1,0,1
310,6,250,12.3,1018.3,90.3,1,0,1
340,5,250,11.6,1018.3,92.5,1,0,1
350,5,10,11.0,1018.4,94.9,1,0,1
330,8,0,10.6,1018.4,96.0,1,0,1
340,7,10,10.2,1018.3,96.0,1,0,1
330,5,10,9.6,1018.3,95.9,1,0,1
340,5,250,9.1,1018.1,95.8,1,0,1
340,4,250,8.7,1018.0,94.4,1,0,1
330,5,250,8.9,1018.4,93.1,1,1,1
340,5,250,10.1,1018.6,89.4,1,1,1
340,7,250,11.9,1018.9,82.9,1,1,1
350,8,250,14.0,1018.9,74.2,1,1,1
330,6,250,16.5,1019.0,66.5,1,1,1
310,5,150,18.7,1019.1,63.3,1,1,1
280,5,150,19.6,1018.8,59.1,1,1,1
240,4,250,19.8,1018.4,53.5,1,1,1
220,4,250,20.1,1018.1,57.2,1,1,1
240,4,250,21.6,1017.7,52.7,1,1,1
330,8,250,21.4,1017.2,46.4,1,1,1
330,8,250,20.7,1017.1,44.6,1,1,1
10,9,250,19.6,1017.0,33.5,1,1,1
360,7,250,17.7,1017.1,40.3,1,1,1
350,4,250,15.3,1017.5,59.2,1,0,1
320,4,250,13.1,1017.6,70.1,1,0,1
300,4,250,11.3,1017.3,78.9,1,0,1
300,4,250,10.5,1017.0,74.5,1,0,1
310,4,250,10.0,1016.6,71.6,0,0,1
310,3,250,9.5,1016.1,74.8,0,0,1
270,1,250,9.2,1015.7,82.5,0,0,1
30,3,250,8.9,1015.2,86.2,0,0,1
40,2,250,8.9,1014.6,83.5,0,0,1
30,2,250,8.7,1014.3,84.8,0,0,1
60,4,250,9.3,1014.2,85.2,0,1,1
50,5,250,11.2,1013.9,80.1,0,1,1
90,8,250,15.3,1013.3,70.3,0,1,1
80,10,250,16.3,1013.0,65.3,0,1,1
90,11,250,17.4,1012.7,68.4,0,1,1
90,8,250,19.9,1012.2,61.2,0,1,1
90,6,250,21.0,1011.6,59.2,0,1,1
100,9,250,22.0,1010.7,57.9,0,1,1
100,6,250,22.5,1010.2,57.7,0,1,1
100,7,250,21.1,1009.5,56.9,0,1,1
90,11,250,20.5,1008.2,61.1,0,1,1
110,12,250,19.7,1007.9,63.6,0,1,1
130,14,250,18.3,1007.2,61.2,0,1,1
90,3,250,16.9,1007.0,68.9,0,1,1
150,5,250,14.9,1007.4,73.0,0,0,1
140,8,250,13.8,1007.4,76.4,0,0,1
90,3,250,12.8,1007.3,82.4,0,0,1
60,2,250,12.1,1006.7,85.5,0,0,1
90,3,250,11.3,1006.1,87.5,0,0,1
210,3,250,10.2,1005.9,92.1,0,0,1
160,2,250,9.9,1005.3,94.8,0,0,1
120,4,250,10.2,1004.9,94.8,0,0,1
100,2,250,9.5,1004.5,96.0,0,0,1
100,3,10,9.3,1004.0,97.3,0,0,1
230,5,0,10.3,1004.3,98.7,0,1,1
310,1,0,10.6,1004.4,98.7,0,1,1
260,7,5,12.3,1004.8,96.4,0,1,1
200,4,200,13.7,1004.9,80.7,0,1,1
200,10,200,11.8,1005.2,88.9,0,1,1
230,11,250,14.6,1005.1,72.8,0,1,1
220,11,100,13.5,1005.5,75.0,0,1,1
230,9,30,12.2,1006.0,87.9,0,1,1
210,8,30,13.3,1006.1,86.1,0,1,1
240,9,60,14.7,1005.8,83.5,0,1,1
290,10,30,13.9,1006.1,76.5,0,1,1
290,8,30,14.4,1006.5,71.6,0,1,1
300,9,60,13.3,1007.1,64.0,0,1,1
300,7,250,11.8,1007.9,65.4,0,1,1
300,8,250,10.1,1008.7,75.5,0,0,1
270,8,250,8.6,1009.5,86.1,0,0,1
260,7,250,8.1,1010.1,91.5,0,0,1
270,6,30,8.1,1010.4,94.4,0,0,1
270,9,30,9.2,1010.8,91.8,1,0,1
290,6,30,8.5,1011.0,90.3,1,0,1
270,7,30,7.7,1010.8,92.8,1,0,1
280,9,60,8.4,1011.0,92.9,1,0,1
260,8,60,7.8,1011.0,94.1,1,0,1
260,7,30,7.6,1011.5,94.2,1,0,1
270,7,250,7.6,1012.0,95.7,1,1,1
270,7,60,9.2,1012.3,94.5,1,1,1
260,7,30,9.4,1013.0,95.9,1,1,1
240,8,100,11.2,1013.3,88.7,1,1,1
230,8,60,12.0,1013.6,86.5,1,1,1
240,11,30,11.2,1013.8,84.9,1,1,1
230,15,100,13.3,1013.8,73.7,1,1,1
230,14,100,12.9,1013.9,71.1,1,1,1
220,12,100,12.7,1013.6,76.5,1,1,1
220,15,100,12.5,1013.3,78.6,1,1,1
220,15,100,12.8,1013.0,77.7,1,1,1
230,19,150,11.8,1012.9,79.4,1,1,1
230,17,60,11.1,1012.6,82.5,1,1,1
230,15,60,10.7,1012.5,87.3,1,1,1
230,13,30,10.6,1012.9,89.7,1,0,1
240,11,20,10.6,1013.1,90.9,1,0,1
230,12,0,10.3,1013.1,96.1,1,0,1
240,10,0,10.4,1012.8,97.4,1,0,1
240,10,0,10.5,1012.4,98.7,1,0,1
240,9,5,10.2,1012.1,98.7,1,0,1
230,7,30,10.1,1012.0,97.3,1,0,1
240,5,30,10.0,1011.7,97.4,1,0,1
240,7,30,9.8,1011.4,97.4,1,0,1
220,7,10,10.0,1011.3,97.4,1,0,1
210,6,150,10.1,1011.1,97.3,1,1,1
200,5,10,10.8,1011.4,97.5,1,1,1
180,5,0,10.8,1011.1,97.5,1,1,1
190,14,5,11.2,1010.6,98.7,1,1,1
200,15,0,10.9,1010.1,98.8,1,1,1
210,16,0,10.9,1009.9,98.8,1,1,1
210,16,0,11.0,1009.2,98.7,1,1,1
220,17,0,11.1,1008.5,98.7,1,1,1
230,19,0,11.0,1007.9,98.7,1,1,1
220,18,0,11.1,1007.4,98.7,1,1,1
220,19,0,11.0,1006.8,98.7,1,1,1
220,21,0,11.2,1006.1,98.7,1,1,1
220,21,10,10.9,1005.1,98.8,1,1,1
230,20,10,10.8,1005.1,98.7,1,1,1
240,18,5,10.7,1005.7,98.8,1,0,1
300,9,10,9.7,1006.5,96.0,1,0,1
290,10,30,9.1,1006.9,90.5,1,0,1
270,10,30,8.9,1007.3,93.2,1,0,1
270,11,30,8.9,1007.3,95.9,1,0,1
270,12,30,8.6,1007.5,94.5,1,0,1
270,12,30,9.0,1007.6,91.8,1,0,1
270,11,60,8.3,1007.8,91.5,1,0,1
270,9,60,8.0,1008.2,91.4,1,0,1
270,9,30,7.8,1008.3,91.3,1,0,1
260,10,30,8.1,1008.7,92.9,1,1,1
260,9,30,9.1,1009.0,91.8,1,1,1
250,11,30,10.4,1009.4,88.4,1,1,1
240,11,30,11.6,1009.6,84.0,1,1,1
230,14,150,12.8,1009.7,75.5,1,1,1
230,14,100,11.8,1009.8,79.4,1,1,1
240,13,250,12.4,1009.8,71.7,1,1,1
230,16,150,13.2,1009.6,71.4,1,1,1
280,13,60,10.6,1010.1,69.8,1,1,1
250,17,100,13.1,1009.8,69.2,1,1,1
250,15,100,11.5,1009.8,67.4,1,1,1
260,14,100,10.9,1010.1,76.2,1,1,1
280,18,100,11.1,1010.5,69.2,1,1,1
270,15,100,10.0,1010.8,71.7,1,1,1
270,14,250,8.8,1011.3,78.2,1,0,1
260,12,60,8.3,1012.1,83.2,1,0,1
260,12,250,8.1,1012.2,85.9,1,0,1
260,12,60,7.8,1012.3,84.2,1,0,1
250,13,60,8.2,1012.4,88.7,1,0,1
260,11,60,7.8,1012.7,84.2,1,0,1
260,8,60,7.1,1012.6,86.7,1,0,1
270,10,250,7.3,1012.5,85.4,1,0,1
260,9,60,6.9,1012.6,86.6,1,0,1
250,11,100,7.4,1012.7,86.9,1,0,1
260,8,60,7.1,1012.9,89.7,1,1,1
250,12,60,8.6,1013.3,84.7,1,1,1
260,11,250,10.1,1013.5,77.9,1,1,1
240,11,60,10.4,1013.3,74.5,1,1,1
240,14,100,12.8,1013.2,68.8,1,1,1
230,13,100,11.2,1013.3,75.2,1,1,1
240,12,100,13.0,1013.0,70.1,1,1,1
220,16,100,13.4,1012.9,70.5,1,1,1
220,16,100,11.9,1012.5,67.7,1,1,1
220,16,100,12.5,1011.9,68.4,1,1,1
230,16,100,10.1,1011.6,79.2,1,1,1
220,13,100,10.7,1011.3,76.1,1,1,1
220,12,100,10.0,1010.6,81.8,1,1,1
220,9,100,9.4,1010.3,84.0,1,1,1
210,8,60,9.2,1009.8,85.1,1,0,1
190,6,30,9.0,1009.1,86.4,1,0,1
180,7,200,9.0,1008.4,87.7,1,0,1
180,7,30,8.6,1007.5,88.9,1,0,1
110,4,100,7.9,1006.4,83.0,1,0,1
90,4,100,7.8,1005.4,82.9,1,0,1
80,5,60,7.3,1004.1,89.7,1,0,1
100,8,20,7.2,1003.2,94.1,1,0,1
100,8,100,7.5,1001.6,95.7,1,0,1
90,9,60,7.2,1000.1,94.1,1,0,1
90,9,60,6.7,998.9,95.5,1,1,1
80,9,20,7.1,998.0,97.0,1,1,1
100,10,60,8.3,996.6,95.8,1,1,1
90,9,20,8.5,995.9,97.2,1,1,1
100,10,20,8.8,995.3,97.3,1,1,1
110,11,20,9.5,994.6,94.6,1,1,1
120,11,20,10.7,994.4,91.1,1,1,1
110,9,30,10.3,994.5,87.2,1,1,1
60,7,30,11.4,994.9,85.2,1,1,1
50,6,30,12.9,994.9,79.2,1,1,1
40,7,60,12.3,995.8,77.6,1,1,1
20,13,30,11.7,996.8,80.7,1,1,1
10,11,30,10.2,997.8,82.0,1,1,1
360,7,30,10.1,998.7,81.9,1,1,1
350,8,30,9.3,999.8,82.7,1,0,1
350,9,30,8.9,1000.7,86.4,1,0,1
350,7,30,8.6,1001.2,87.6,1,0,1
340,6,30,8.5,1001.5,88.9,1,0,1
320,6,60,8.4,1002.0,88.8,0,0,1
330,6,60,8.3,1002.3,90.2,0,0,1
330,4,30,7.7,1002.8,94.3,0,0,1
320,5,150,7.5,1003.0,94.2,0,0,1
330,5,30,7.2,1003.1,92.7,0,0,1
360,5,60,7.0,1003.1,92.6,0,0,1
340,1,100,7.2,1003.9,92.7,0,1,1
340,4,100,7.6,1004.4,91.4,0,1,1
340,5,30,8.3,1004.8,86.0,0,1,1
10,2,60,9.2,1005.1,82.6,0,1,1
150,1,60,9.4,1005.5,81.4,0,1,1
210,5,100,9.8,1005.8,82.9,0,1,1
210,7,30,10.3,1005.7,80.8,0,1,1
170,6,60,11.2,1005.7,80.2,0,1,1
210,8,30,11.0,1005.7,76.3,0,1,1
200,8,60,11.9,1005.6,71.3,0,1,1
190,8,30,10.8,1005.7,76.2,0,1,1
170,3,100,10.1,1006.0,80.6,0,1,1
110,2,100,9.4,1005.9,85.3,0,1,1
80,2,100,9.0,1006.0,83.8,0,1,1
40,2,100,8.2,1006.2,90.1,0,0,1
50,1,150,7.8,1006.3,91.3,0,0,1
40,2,60,7.4,1006.3,94.2,0,0,1
50,5,60,7.0,1006.3,95.6,0,0,1
50,4,150,6.5,1006.3,94.0,0,0,1
