Wind_Direction,Wind_Speed,Cloud_Base_Height,Temperature,Pressure,NotWeekend,InOperatingHours,NotHoliday
240,7,10,14.8,1007.5,1,0,1
230,7,10,14.8,1007.6,1,0,1
230,7,10,15.1,1007.5,1,0,1
230,6,0,15.1,1007.5,1,1,1
230,11,5,15.3,1007.7,1,1,1
220,10,10,15.4,1008.1,1,1,1
230,12,10,16.4,1008.4,1,1,1
210,12,10,17.0,1008.5,1,1,1
210,13,10,17.1,1008.5,1,1,1
200,12,20,18.4,1008.1,1,1,1
180,16,100,16.1,1006.3,1,0,1
180,13,60,16.2,1005.9,1,0,1
170,13,60,16.1,1004.3,1,0,1
180,11,20,15.9,1002.8,1,0,1
170,11,30,16.0,1002.2,1,0,1
180,13,20,16.0,1001.8,1,1,1
170,13,20,16.2,1001.2,1,1,1
180,15,20,16.5,1000.9,1,1,1
180,15,20,16.6,1000.4,1,1,1
190,21,20,16.0,1000.3,1,1,1
180,21,20,15.8,1000.2,1,1,1
180,24,20,16.2,999.8,1,1,1
210,11,10,18.5,1000.1,1,1,1
210,13,250,18.6,1000.3,1,1,1
220,15,60,18.0,1000.5,1,1,1
240,16,30,18.1,1000.7,1,1,1
220,12,150,17.1,1001.0,1,1,1
240,7,150,14.9,1002.3,1,0,1
240,8,150,14.7,1002.9,1,0,1
210,10,30,15.2,1002.9,1,0,1
220,11,30,15.0,1002.9,1,0,1
220,11,150,15.0,1003.0,1,0,1
210,9,150,15.4,1003.1,1,1,1
220,13,30,15.4,1003.4,1,1,1
200,10,30,15.5,1003.5,1,1,1
220,13,30,17.3,1003.9,1,1,1
210,13,250,17.7,1004.2,1,1,1
210,13,250,18.5,1004.5,1,1,1
220,13,250,19.1,1004.5,1,1,1
210,12,250,19.6,1004.8,1,1,1
210,14,100,17.9,1004.8,1,1,1
220,11,30,17.1,1004.9,1,1,1
220,15,150,18.4,1005.0,1,1,1
230,18,150,17.5,1005.1,1,1,1
230,20,250,16.8,1005.4,1,1,1
230,11,250,14.8,1006.4,1,0,1
220,10,30,14.9,1005.4,1,0,1
200,11,30,15.1,1005.0,1,0,1
200,13,30,14.8,1004.9,1,0,1
220,10,60,14.9,1005.1,1,1,1
220,9,150,16.0,1005.3,1,1,1
210,11,100,16.2,1005.4,1,1,1
200,16,60,16.6,1005.4,1,1,1
200,13,30,18.5,1005.3,1,1,1
200,12,250,19.0,1005.5,1,1,1
200,12,100,16.8,1005.6,1,1,1
200,9,30,15.0,1005.7,1,1,1
210,15,100,16.1,1005.6,1,1,1
200,17,60,17.3,1005.4,1,1,1
200,17,150,18.0,1004.9,1,1,1
200,20,30,15.6,1003.6,1,0,1
200,15,30,15.0,1001.9,0,0,1
230,16,60,14.1,1001.7,0,0,1
220,14,30,14.4,1001.7,0,0,1
200,11,30,14.9,1001.5,0,1,1
200,12,250,15.5,1001.5,0,1,1
210,11,100,16.6,1001.7,0,1,1
210,10,150,16.9,1001.8,0,1,1
200,15,150,17.5,1001.7,0,1,1
210,14,30,17.1,1001.8,0,1,1
210,14,30,17.9,1001.7,0,1,1
180,12,100,14.6,1001.4,0,0,1
160,9,100,13.7,999.6,0,0,1
190,13,30,13.6,999.4,0,0,1
180,10,100,14.2,999.7,0,1,1
180,8,100,15.0,999.5,0,1,1
210,5,30,14.5,999.7,0,1,1
190,6,30,16.9,999.0,0,1,1
290,5,250,14.2,1000.5,0,0,1
300,5,200,13.3,1001.5,0,0,1
310,1,30,12.5,1002.6,1,0,1
260,5,20,13.6,1002.8,1,0,1
280,9,100,14.2,1003.7,1,1,1
250,9,100,15.1,1004.3,1,1,1
240,8,150,16.8,1004.6,1,1,1
230,10,30,17.7,1004.9,1,1,1
310,10,100,15.3,1005.5,1,1,1
290,8,100,16.4,1006.0,1,1,1
250,9,60,17.4,1006.3,1,1,1
240,11,150,17.7,1006.6,1,1,1
270,15,60,15.5,1007.2,1,1,1
270,14,100,16.8,1007.6,1,1,1
260,10,100,16.2,1008.0,1,1,1
250,9,150,14.2,1012.0,1,0,1
260,5,150,13.5,1012.4,1,0,1
260,5,150,12.3,1012.6,1,0,1
70,2,250,11.9,1012.7,1,0,1
100,2,250,12.0,1012.7,1,0,1
90,2,150,12.2,1013.1,1,1,1
180,3,30,13.9,1013.6,1,1,1
200,10,60,15.3,1013.9,1,1,1
220,10,100,15.1,1014.3,1,1,1
200,8,30,15.0,1014.5,1,1,1
190,11,30,15.2,1014.6,1,1,1
190,14,30,15.7,1014.5,1,1,1
200,15,20,15.8,1014.7,1,1,1
220,13,20,15.7,1014.9,1,1,1
220,15,20,15.9,1014.9,1,1,1
230,16,0,15.8,1015.0,1,1,1
230,18,5,16.0,1015.1,1,1,1
240,9,0,15.9,1016.3,1,0,1
250,7,0,15.9,1016.5,1,0,1
240,7,0,15.9,1016.6,1,0,1
240,5,0,15.9,1016.6,1,0,1
250,5,0,15.8,1016.7,1,0,1
230,5,0,15.7,1017.0,1,0,1
230,4,0,15.7,1017.1,1,1,1
220,6,0,15.8,1017.5,1,1,1
230,3,0,16.4,1017.9,1,1,1
220,5,5,17.2,1018.1,1,1,1
210,5,30,17.6,1018.2,1,1,1
210,7,30,18.1,1018.4,1,1,1
220,5,30,19.2,1018.5,1,1,1
220,5,30,19.0,1018.4,1,1,1
220,4,30,19.7,1018.3,1,1,1
220,5,30,20.7,1018.0,1,1,1
230,7,30,20.5,1018.1,1,1,1
220,7,250,19.9,1017.9,1,1,1
210,8,100,18.2,1018.1,1,1,1
320,3,250,15.9,1018.7,1,0,1
10,2,60,15.7,1018.8,1,0,1
330,3,0,14.6,1018.8,1,0,1
330,3,0,14.5,1018.9,1,0,1
330,2,0,13.6,1019.0,1,0,1
330,2,60,13.9,1019.4,1,1,1
60,2,100,15.4,1019.7,1,1,1
20,2,100,16.7,1020.0,1,1,1
210,3,100,18.8,1020.3,1,1,1
230,6,60,20.1,1020.4,1,1,1
220,8,60,20.6,1020.4,1,1,1
240,7,60,21.5,1020.5,1,1,1
230,7,60,21.2,1020.3,1,1,1
230,7,250,21.2,1020.3,1,1,1
210,8,250,21.4,1020.0,1,1,1
220,9,250,20.2,1019.8,1,1,1
240,6,250,20.4,1019.9,1,1,1
240,4,150,20.5,1019.9,1,1,1
90,4,250,16.4,1020.4,1,0,1
70,4,250,15.3,1020.1,1,0,1
70,4,250,14.7,1019.7,1,0,1
60,5,250,13.8,1019.7,1,0,1
80,3,250,15.3,1020.1,1,1,1
80,6,250,17.5,1020.1,1,1,1
80,6,250,19.7,1020.0,1,1,1
90,9,250,21.0,1019.7,1,1,1
90,11,250,22.2,1019.7,1,1,1
90,10,250,23.2,1019.5,1,1,1
110,13,250,23.8,1019.2,1,1,1
120,12,250,24.1,1019.0,1,1,1
110,9,250,24.4,1018.7,1,1,1
100,9,250,24.1,1018.3,1,1,1
110,13,250,23.4,1017.9,1,1,1
110,11,250,22.9,1017.7,1,1,1
100,8,250,21.9,1017.2,1,1,1
80,6,250,18.5,1016.9,1,0,1
