Datetime,Wind_Direction,Wind_Speed,Cloud_Base_Height,Visibility,Temperature,Pressure,Humidity,NotWeekend,InOperatingHours,NotHoliday,Reading
2018-04-17T00:00:00Z,160,17,60,800,10.6,1007.6,84.7,1,0,1,85.448
2018-04-17T01:00:00Z,160,16,60,1000,10.5,1007.7,85.9,1,0,1,91.082
2018-04-17T02:00:00Z,160,16,100,900,10.5,1007.4,85.9,1,0,1,87.698
2018-04-17T03:00:00Z,160,17,100,900,10.5,1007.4,83.4,1,0,1,86.703
2018-04-17T04:00:00Z,170,16,100,1100,10.9,1007.3,77.5,1,0,1,88.18
2018-04-17T05:00:00Z,170,17,100,1100,10.8,1007.2,77.3,1,0,1,89.965
2018-04-17T06:00:00Z,180,22,60,900,10.8,1007.5,79.8,1,1,1,113.474
2018-04-17T07:00:00Z,180,24,60,800,11.1,1007.7,81.2,1,1,1,134.798
2018-04-17T08:00:00Z,180,27,100,800,11.5,1008.4,84,1,1,1,150.765
2018-04-17T09:00:00Z,190,28,60,900,11.9,1008.9,82.9,1,1,1,147.686
2018-04-17T10:00:00Z,180,29,30,500,11,1009.3,93.6,1,1,1,143.206
2018-04-17T11:00:00Z,180,24,30,350,11.2,1009.8,95,1,1,1,141.184
2018-04-17T12:00:00Z,190,28,30,700,11.7,1010.3,90.1,1,1,1,144.048
2018-04-17T13:00:00Z,190,28,30,700,11.6,1010.9,91.3,1,1,1,149.992
2018-04-17T14:00:00Z,190,23,20,600,11.7,1011.6,92.6,1,1,1,135.156
2018-04-17T15:00:00Z,190,25,20,700,11.7,1012,92.6,1,1,1,142.765
2018-04-17T16:00:00Z,190,24,20,500,11.4,1012.4,93.7,1,1,1,122.286
2018-04-17T17:00:00Z,190,25,20,500,11.5,1012.8,93.7,1,1,1,103.121
2018-04-17T18:00:00Z,190,21,20,500,11.3,1013.4,93.7,1,1,1,98.434
2018-04-17T19:00:00Z,180,21,20,350,11.1,1013.8,94.9,1,1,1,91.926
2018-04-17T20:00:00Z,180,22,20,500,11.4,1014.5,95,1,0,1,86.513
2018-04-17T21:00:00Z,180,22,30,600,11.5,1015.2,93.7,1,0,1,87.091
2018-04-17T22:00:00Z,180,21,20,600,11.6,1015.7,93.8,1,0,1,87.063
2018-04-17T23:00:00Z,170,19,20,600,11.6,1016.3,92.5,1,0,1,84.036
2018-04-18T00:00:00Z,170,21,20,800,11.9,1016.6,92.5,1,0,1,88.067
2018-04-18T01:00:00Z,180,22,20,900,11.7,1016.7,93.8,1,0,1,85.279
2018-04-18T02:00:00Z,180,19,20,800,11.7,1017.4,93.8,1,0,1,83.143
2018-04-18T03:00:00Z,200,19,5,460,11.3,1018,96.2,1,0,1,88.127
2018-04-18T04:00:00Z,170,15,10,600,11.3,1018.2,94.9,1,0,1,87.457
2018-04-18T05:00:00Z,170,14,60,1000,11.8,1018.4,86.4,1,0,1,88.89
2018-04-18T06:00:00Z,180,14,100,1900,12.4,1018.7,83.2,1,1,1,100.137
2018-04-18T07:00:00Z,140,6,100,1800,12.8,1019,83.4,1,1,1,128.028
2018-04-18T08:00:00Z,110,6,250,1300,15.2,1019,74.2,1,1,1,141.522
2018-04-18T09:00:00Z,140,11,250,2100,16.7,1018.7,70.5,1,1,1,142.998
2018-04-18T10:00:00Z,130,16,250,1800,17.5,1018.5,66.6,1,1,1,144.125
2018-04-18T11:00:00Z,130,14,250,1100,18,1018.2,62.5,1,1,1,144.981
2018-04-18T12:00:00Z,120,14,250,4500,18.1,1017.8,59,1,1,1,150.114
2018-04-18T13:00:00Z,120,16,250,3500,20,1017.3,49,1,1,1,151.957
2018-04-18T14:00:00Z,120,12,250,1300,20.7,1017.1,50,1,1,1,145.828
2018-04-18T15:00:00Z,110,14,250,1200,20.5,1016.4,50.5,1,1,1,130.262
2018-04-18T16:00:00Z,100,14,250,2100,19.3,1016,53.8,1,1,1,111.653
2018-04-18T17:00:00Z,90,12,250,1900,18.7,1015.8,57.2,1,1,1,102.219
2018-04-18T18:00:00Z,100,11,250,1000,17.7,1015.4,60.4,1,1,1,98.0
2018-04-18T19:00:00Z,100,10,250,2100,15.7,1015.5,68.6,1,1,1,96.617
2018-04-18T20:00:00Z,110,11,250,1400,14.8,1015.6,69.7,1,0,1,90.914
2018-04-18T21:00:00Z,140,5,250,1400,14.1,1016.5,71.2,1,0,1,88.297
2018-04-18T22:00:00Z,90,6,250,1600,12.8,1016.3,77.7,1,0,1,89.575
2018-04-18T23:00:00Z,100,6,250,1300,12,1016.4,80.6,1,0,1,87.561
2018-04-19T00:00:00Z,90,5,250,1600,11.8,1016.4,79.3,1,0,1,87.641
2018-04-19T01:00:00Z,90,8,250,1300,11.7,1016,82.8,1,0,1,86.595
2018-04-19T02:00:00Z,140,2,250,1300,10.1,1016,86.8,1,0,1,86.826
2018-04-19T03:00:00Z,280,2,250,1100,8.8,1016.3,89,1,0,1,89.55
2018-04-19T04:00:00Z,300,1,250,600,8.4,1016.5,95.6,1,0,1,88.047
2018-04-19T05:00:00Z,90,5,250,700,8.6,1016.5,94.4,1,0,1,90.362
2018-04-19T06:00:00Z,70,2,250,800,8.6,1016.8,94.4,1,1,1,98.129
2018-04-19T07:00:00Z,280,2,250,800,9.5,1017.5,94.5,1,1,1,124.162
2018-04-19T08:00:00Z,320,1,250,1300,12,1017.8,85.4,1,1,1,138.525
2018-04-19T09:00:00Z,330,2,250,1500,15.1,1017.7,74.1,1,1,1,144.249
2018-04-19T10:00:00Z,230,4,250,600,17.8,1017.9,68.7,1,1,1,148.202
2018-04-19T11:00:00Z,200,8,250,800,16.1,1018.4,73,1,1,1,150.145
2018-04-19T12:00:00Z,220,6,250,1300,18,1018.4,67,1,1,1,155.496
2018-04-19T13:00:00Z,210,5,250,1200,18.1,1018.4,67.1,1,1,1,154.601
2018-04-19T14:00:00Z,210,4,250,2700,19.5,1018.2,62.4,1,1,1,150.046
2018-04-19T15:00:00Z,210,7,250,1800,19.5,1017.7,58.2,1,1,1,134.828
2018-04-19T16:00:00Z,200,9,250,2400,18.3,1017.7,61.9,1,1,1,114.454
2018-04-19T17:00:00Z,220,7,250,1100,17.4,1017.9,69.2,1,1,1,104.009
2018-04-19T18:00:00Z,260,5,250,1900,17.7,1017.5,71.4,1,1,1,98.808
2018-04-19T19:00:00Z,350,6,250,2400,17.1,1017.6,70.9,1,1,1,95.363
2018-04-19T20:00:00Z,340,5,250,2300,14.9,1018.2,81.4,1,0,1,88.1
2018-04-19T21:00:00Z,320,4,250,1900,13.2,1018.3,86,1,0,1,86.766
2018-04-19T22:00:00Z,310,6,250,1400,12.3,1018.3,90.3,1,0,1,85.391
2018-04-19T23:00:00Z,340,5,250,800,11.6,1018.3,92.5,1,0,1,86.276
2018-04-20T00:00:00Z,350,5,10,900,11,1018.4,94.9,1,0,1,81.24
2018-04-20T01:00:00Z,330,8,0,1100,10.6,1018.4,96,1,0,1,85.574
2018-04-20T02:00:00Z,340,7,10,1500,10.2,1018.3,96,1,0,1,85.919
2018-04-20T03:00:00Z,330,5,10,1700,9.6,1018.3,95.9,1,0,1,85.888
2018-04-20T04:00:00Z,340,5,250,3500,9.1,1018.1,95.8,1,0,1,85.0
2018-04-20T05:00:00Z,340,4,250,2700,8.7,1018,94.4,1,0,1,85.21
2018-04-20T06:00:00Z,330,5,250,2300,8.9,1018.4,93.1,1,1,1,98.492
2018-04-20T07:00:00Z,340,5,250,1000,10.1,1018.6,89.4,1,1,1,124.939
2018-04-20T08:00:00Z,340,7,250,2100,11.9,1018.9,82.9,1,1,1,135.613
2018-04-20T09:00:00Z,350,8,250,1900,14,1018.9,74.2,1,1,1,145.68
2018-04-20T10:00:00Z,330,6,250,2400,16.5,1019,66.5,1,1,1,148.89
2018-04-20T11:00:00Z,310,5,150,2000,18.7,1019.1,63.3,1,1,1,148.766
2018-04-20T12:00:00Z,280,5,150,2100,19.6,1018.8,59.1,1,1,1,151.523
2018-04-20T13:00:00Z,240,4,250,1900,19.8,1018.4,53.5,1,1,1,146.887
2018-04-20T14:00:00Z,220,4,250,2200,20.1,1018.1,57.2,1,1,1,144.309
2018-04-20T15:00:00Z,240,4,250,1700,21.6,1017.7,52.7,1,1,1,127.006
2018-04-20T16:00:00Z,330,8,250,4500,21.4,1017.2,46.4,1,1,1,106.623
2018-04-20T17:00:00Z,330,8,250,1700,20.7,1017.1,44.6,1,1,1,101.352
2018-04-20T18:00:00Z,10,9,250,2800,19.6,1017,33.5,1,1,1,94.609
2018-04-20T19:00:00Z,360,7,250,2300,17.7,1017.1,40.3,1,1,1,89.808
2018-04-20T20:00:00Z,350,4,250,1900,15.3,1017.5,59.2,1,0,1,84.766
2018-04-20T21:00:00Z,320,4,250,4500,13.1,1017.6,70.1,1,0,1,82.779
2018-04-20T22:00:00Z,300,4,250,2100,11.3,1017.3,78.9,1,0,1,80.292
2018-04-20T23:00:00Z,300,4,250,4000,10.5,1017,74.5,1,0,1,81.568
2018-04-21T00:00:00Z,310,4,250,2800,10,1016.6,71.6,0,0,1,81.136
2018-04-21T01:00:00Z,310,3,250,1800,9.5,1016.1,74.8,0,0,1,80.058
2018-04-21T02:00:00Z,270,1,250,3000,9.2,1015.7,82.5,0,0,1,81.345
2018-04-21T03:00:00Z,30,3,250,1700,8.9,1015.2,86.2,0,0,1,81.825
2018-04-21T04:00:00Z,40,2,250,2700,8.9,1014.6,83.5,0,0,1,81.98
2018-04-21T05:00:00Z,30,2,250,1600,8.7,1014.3,84.8,0,0,1,82.306
2018-04-21T06:00:00Z,60,4,250,2300,9.3,1014.2,85.2,0,1,1,80.608
2018-04-21T07:00:00Z,50,5,250,2200,11.2,1013.9,80.1,0,1,1,84.681
2018-04-21T08:00:00Z,90,8,250,1400,15.3,1013.3,70.3,0,1,1,85.47
2018-04-21T09:00:00Z,80,10,250,2300,16.3,1013,65.3,0,1,1,85.948
2018-04-21T10:00:00Z,90,11,250,2500,17.4,1012.7,68.4,0,1,1,87.171
2018-04-21T11:00:00Z,90,8,250,1800,19.9,1012.2,61.2,0,1,1,88.677
2018-04-21T12:00:00Z,90,6,250,1600,21,1011.6,59.2,0,1,1,90.899
2018-04-21T13:00:00Z,100,9,250,1400,22,1010.7,57.9,0,1,1,89.782
2018-04-21T14:00:00Z,100,6,250,1000,22.5,1010.2,57.7,0,1,1,90.301
2018-04-21T15:00:00Z,100,7,250,1200,21.1,1009.5,56.9,0,1,1,90.931
2018-04-21T16:00:00Z,90,11,250,1200,20.5,1008.2,61.1,0,1,1,87.13
2018-04-21T17:00:00Z,110,12,250,1800,19.7,1007.9,63.6,0,1,1,87.058
2018-04-21T18:00:00Z,130,14,250,1500,18.3,1007.2,61.2,0,1,1,90.118
2018-04-21T19:00:00Z,90,3,250,1100,16.9,1007,68.9,0,1,1,84.443
2018-04-21T20:00:00Z,150,5,250,1500,14.9,1007.4,73,0,0,1,83.934
2018-04-21T21:00:00Z,140,8,250,1100,13.8,1007.4,76.4,0,0,1,82.948
2018-04-21T22:00:00Z,90,3,250,800,12.8,1007.3,82.4,0,0,1,82.999
2018-04-21T23:00:00Z,60,2,250,700,12.1,1006.7,85.5,0,0,1,84.462
2018-04-22T00:00:00Z,90,3,250,600,11.3,1006.1,87.5,0,0,1,81.33
2018-04-22T01:00:00Z,210,3,250,300,10.2,1005.9,92.1,0,0,1,81.438
2018-04-22T02:00:00Z,160,2,250,250,9.9,1005.3,94.8,0,0,1,80.665
2018-04-22T03:00:00Z,120,4,250,240,10.2,1004.9,94.8,0,0,1,78.943
2018-04-22T04:00:00Z,100,2,250,140,9.5,1004.5,96,0,0,1,82.528
2018-04-22T05:00:00Z,100,3,10,110,9.3,1004,97.3,0,0,1,82.382
2018-04-22T06:00:00Z,230,5,0,60,10.3,1004.3,98.7,0,1,1,82.524
2018-04-22T07:00:00Z,310,1,0,140,10.6,1004.4,98.7,0,1,1,82.746
2018-04-22T08:00:00Z,260,7,5,270,12.3,1004.8,96.4,0,1,1,85.05
2018-04-22T09:00:00Z,200,4,200,600,13.7,1004.9,80.7,0,1,1,90.529
2018-04-22T10:00:00Z,200,10,200,130,11.8,1005.2,88.9,0,1,1,91.489
2018-04-22T11:00:00Z,230,11,250,1100,14.6,1005.1,72.8,0,1,1,90.898
2018-04-22T12:00:00Z,220,11,100,2600,13.5,1005.5,75,0,1,1,90.647
2018-04-22T13:00:00Z,230,9,30,1200,12.2,1006,87.9,0,1,1,92.662
2018-04-22T14:00:00Z,210,8,30,1300,13.3,1006.1,86.1,0,1,1,91.026
2018-04-22T15:00:00Z,240,9,60,1700,14.7,1005.8,83.5,0,1,1,88.99
2018-04-22T16:00:00Z,290,10,30,2400,13.9,1006.1,76.5,0,1,1,91.505
2018-04-22T17:00:00Z,290,8,30,3000,14.4,1006.5,71.6,0,1,1,89.035
