Datetime,Wind_Direction,Wind_Speed,Cloud_Base_Height,Visibility,Temperature,Pressure,Humidity,NotWeekend,InOperatingHours,NotHoliday,Reading
2012-07-31T00:00:00Z,180,16,20,700,13.7,1008.2,96.6,1,0,1,0.0
2012-07-31T01:00:00Z,150,11,10,700,13.6,1007.7,97.7,1,0,1,0.0
2012-07-31T02:00:00Z,220,7,10,800,15,1007.4,97.8,1,0,1,0.0
2012-07-31T03:00:00Z,240,7,10,800,14.8,1007.5,97.7,1,0,1,0.01
2012-07-31T04:00:00Z,230,7,10,700,14.8,1007.6,98.9,1,0,1,0.1
2012-07-31T05:00:00Z,230,7,10,700,15.1,1007.5,97.8,1,0,1,0.02
2012-07-31T06:00:00Z,230,6,0,300,15.1,1007.5,98.9,1,1,1,0.04
2012-07-31T07:00:00Z,230,11,5,600,15.3,1007.7,98.9,1,1,1,0.06
2012-07-31T08:00:00Z,220,10,10,600,15.4,1008.1,98.9,1,1,1,0.17
2012-07-31T09:00:00Z,230,12,10,700,16.4,1008.4,97.9,1,1,1,0.22
2012-07-31T10:00:00Z,210,12,10,800,17,1008.5,94.8,1,1,1,0.13
2012-07-31T11:00:00Z,210,13,10,800,17.1,1008.5,91.7,1,1,1,0.04
2012-07-31T12:00:00Z,220,13,10,800,16.8,1008.9,92.6,1,1,1,0.0
2012-07-31T13:00:00Z,210,11,10,800,17.2,1008.7,92.8,1,1,1,0.0
2012-07-31T14:00:00Z,210,11,10,1000,17.9,1008.6,89.9,1,1,1,0.0
2012-07-31T15:00:00Z,210,12,10,1300,18.8,1008.4,88.3,1,1,1,0.0
2012-07-31T16:00:00Z,200,12,20,1000,18.4,1008.1,86.2,1,1,1,0.02
2012-07-31T17:00:00Z,200,14,20,1600,17.8,1007.7,87.9,1,1,1,0.0
2012-07-31T18:00:00Z,200,13,30,1100,16.9,1007.2,90.7,1,1,1,0.0
2012-07-31T19:00:00Z,200,14,20,1300,16.6,1006.9,91.6,1,1,1,0.0
2012-07-31T20:00:00Z,190,13,20,1200,15.9,1006.7,93.5,1,0,1,0.0
2012-07-31T21:00:00Z,180,14,20,1000,16.1,1006.6,94.7,1,0,1,0.0
2012-07-31T22:00:00Z,180,16,100,1100,16.1,1006.3,94.7,1,0,1,0.04
2012-07-31T23:00:00Z,180,13,60,1200,16.2,1005.9,93.6,1,0,1,0.02
2012-08-01T00:00:00Z,180,14,60,1200,16.1,1005.6,93.6,1,0,1,0.0
2012-08-01T01:00:00Z,180,16,60,1100,16.1,1004.9,93.6,1,0,1,0.0
2012-08-01T02:00:00Z,170,13,60,1100,16.1,1004.3,94.7,1,0,1,0.02
2012-08-01T03:00:00Z,180,12,20,1100,16.1,1003.8,93.6,1,0,1,0.0
2012-08-01T04:00:00Z,180,11,20,1200,15.9,1002.8,93.6,1,0,1,0.06
2012-08-01T05:00:00Z,170,11,30,1400,16,1002.2,93.6,1,0,1,0.03
2012-08-01T06:00:00Z,180,13,20,1400,16,1001.8,93.6,1,1,1,0.01
2012-08-01T07:00:00Z,170,13,20,1700,16.2,1001.2,93.6,1,1,1,0.16
2012-08-01T08:00:00Z,180,15,20,1800,16.5,1000.9,92.7,1,1,1,0.12
2012-08-01T09:00:00Z,180,15,20,1800,16.6,1000.4,91.6,1,1,1,0.1
2012-08-01T10:00:00Z,190,21,20,70,16,1000.3,95.7,1,1,1,0.03
2012-08-01T11:00:00Z,180,21,20,600,15.8,1000.2,97.8,1,1,1,0.16
2012-08-01T12:00:00Z,180,24,20,900,16.2,999.8,95.8,1,1,1,0.06
2012-08-01T13:00:00Z,210,11,10,900,18.5,1000.1,90.1,1,1,1,0.04
2012-08-01T14:00:00Z,210,13,250,1000,18.6,1000.3,85.4,1,1,1,0.03
2012-08-01T15:00:00Z,220,15,60,900,18,1000.5,85.1,1,1,1,0.04
2012-08-01T16:00:00Z,220,14,60,800,18.2,1000.6,84.2,1,1,1,0.0
2012-08-01T17:00:00Z,240,16,30,1200,18.1,1000.7,81.3,1,1,1,0.01
2012-08-01T18:00:00Z,220,12,150,1100,17.1,1001,86.7,1,1,1,0.01
2012-08-01T19:00:00Z,240,7,30,900,16.2,1001.2,88.4,1,1,1,0.0
2012-08-01T20:00:00Z,240,8,60,800,15.3,1001.6,93.4,1,0,1,0.0
2012-08-01T21:00:00Z,240,7,150,1100,14.9,1002.3,93.3,1,0,1,0.01
2012-08-01T22:00:00Z,240,8,150,1200,14.7,1002.9,94.4,1,0,1,0.03
2012-08-01T23:00:00Z,240,9,150,1000,14.4,1002.9,95.5,1,0,1,0.0
2012-08-02T00:00:00Z,240,9,250,800,14.3,1003.1,95.5,1,0,1,0.0
